iter	Passed	Remaining
0	156	77899
1	163	40626
2	169	28091
3	176	21870
4	182	18092
5	188	15543
6	194	13731
7	201	12364
8	207	11314
9	213	10448
10	218	9706
11	223	9093
12	228	8556
13	233	8089
14	237	7680
15	241	7315
16	244	6938
17	246	6609
18	250	6332
19	253	6075
20	255	5832
21	258	5609
22	260	5407
23	263	5221
24	265	5048
25	268	4888
26	270	4737
27	272	4600
28	275	4472
29	277	4353
30	280	4243
31	282	4137
32	285	4038
33	288	3948
34	290	3865
35	293	3785
36	296	3707
37	298	3632
38	301	3559
39	303	3491
40	306	3425
41	308	3363
42	310	3304
43	313	3248
44	316	3197
45	319	3148
46	321	3098
47	323	3050
48	326	3004
49	328	2959
50	331	2914
51	333	2872
52	335	2832
53	338	2793
54	340	2756
55	343	2720
56	345	2686
57	348	2652
58	350	2619
59	352	2587
60	355	2556
61	357	2525
62	360	2498
63	362	2469
64	364	2441
65	367	2415
66	369	2389
67	372	2365
68	374	2341
69	377	2319
70	380	2296
71	381	2266
72	383	2244
73	386	2223
74	388	2202
75	391	2182
76	393	2162
77	395	2142
78	398	2123
79	400	2104
80	403	2086
81	405	2068
82	408	2050
83	410	2032
84	412	2015
85	415	1998
86	417	1982
87	420	1966
88	422	1951
89	425	1936
90	427	1922
91	430	1907
92	432	1893
93	435	1879
94	437	1865
95	440	1853
96	442	1839
97	445	1827
98	448	1814
99	450	1801
100	452	1789
101	455	1776
102	457	1764
103	460	1752
104	462	1741
105	465	1729
106	467	1718
107	470	1706
108	472	1695
109	475	1684
110	477	1673
111	479	1662
112	483	1656
113	486	1646
114	489	1639
115	492	1630
116	494	1619
117	497	1609
118	499	1599
119	502	1589
120	504	1580
121	507	1570
122	509	1561
123	511	1552
124	514	1542
125	516	1533
126	519	1524
127	521	1515
128	523	1506
129	526	1497
130	528	1489
131	530	1480
132	533	1472
133	535	1463
134	538	1455
135	540	1447
136	543	1439
137	545	1431
138	548	1423
139	550	1416
140	553	1408
141	555	1400
142	558	1393
143	560	1385
144	562	1378
145	565	1370
146	567	1363
147	570	1356
148	572	1349
149	575	1342
150	577	1335
151	580	1328
152	582	1321
153	585	1315
154	587	1308
155	590	1301
156	592	1295
157	595	1288
158	597	1282
159	600	1275
160	602	1269
161	605	1262
162	608	1257
163	610	1251
164	613	1245
165	616	1239
166	618	1233
167	621	1227
168	623	1221
169	626	1215
170	628	1209
171	631	1203
172	633	1198
173	636	1192
174	638	1186
175	641	1180
176	643	1174
177	646	1168
178	648	1163
179	651	1157
180	653	1151
181	655	1146
182	658	1140
183	660	1134
184	663	1128
185	665	1123
186	667	1117
187	670	1112
188	672	1106
189	675	1101
190	677	1095
191	679	1090
192	682	1085
193	684	1080
194	687	1074
195	689	1069
196	692	1064
197	694	1059
198	697	1054
199	699	1049
200	701	1044
201	704	1039
202	706	1034
203	709	1029
204	711	1024
205	713	1018
206	716	1013
207	718	1008
208	721	1004
209	723	999
210	726	994
211	728	989
212	731	985
213	733	980
214	736	975
215	738	971
216	740	966
217	743	961
218	745	957
219	748	952
220	750	947
221	753	943
222	755	938
223	758	934
224	760	929
225	763	925
226	765	920
227	768	916
228	770	912
229	773	907
230	775	903
231	778	899
232	781	894
233	783	890
234	785	886
235	788	882
236	790	877
237	793	873
238	795	869
239	798	864
240	800	860
241	803	856
242	806	852
243	808	848
244	811	844
245	813	840
246	816	835
247	818	831
248	821	827
249	823	823
250	825	819
251	828	815
252	830	811
253	833	807
254	835	803
255	838	798
256	840	794
257	843	790
258	845	786
259	847	782
260	850	778
261	852	774
262	855	770
263	857	766
264	860	762
265	862	758
266	865	755
267	867	751
268	870	747
269	872	743
270	875	739
271	877	735
272	880	732
273	882	728
274	885	724
275	887	720
276	890	716
277	892	712
278	895	709
279	897	705
280	899	701
281	902	697
282	904	693
283	907	690
284	909	686
285	912	682
286	914	678
287	920	677
288	923	674
289	927	671
290	931	669
291	936	667
292	940	664
293	943	660
294	945	656
295	947	653
296	950	649
297	953	646
298	955	642
299	958	638
300	960	635
301	963	631
302	965	627
303	968	624
304	970	620
305	973	617
306	975	613
307	978	609
308	980	606
309	983	602
310	985	599
311	988	595
312	991	592
313	994	588
314	997	585
315	1000	582
316	1002	579
317	1007	576
318	1010	573
319	1013	569
320	1016	566
321	1019	563
322	1022	560
323	1025	556
324	1027	553
325	1030	550
326	1033	546
327	1036	543
328	1039	540
329	1041	536
330	1044	533
331	1047	530
332	1050	526
333	1053	523
334	1056	520
335	1058	516
336	1061	513
337	1064	510
338	1067	507
339	1070	503
340	1073	500
341	1075	497
342	1078	493
343	1082	490
344	1085	487
345	1087	484
346	1090	480
347	1093	477
348	1096	474
349	1099	471
350	1102	467
351	1104	464
352	1107	461
353	1111	458
354	1113	454
355	1116	451
356	1119	448
357	1121	444
358	1124	441
359	1128	438
360	1130	435
361	1133	432
362	1136	428
363	1138	425
364	1141	422
365	1144	418
366	1146	415
367	1149	412
368	1151	408
369	1154	405
370	1157	402
371	1159	399
372	1162	395
373	1165	392
374	1168	389
375	1170	386
376	1173	382
377	1176	379
378	1178	376
379	1181	373
380	1184	369
381	1187	366
382	1190	363
383	1192	360
384	1195	357
385	1198	354
386	1201	350
387	1204	347
388	1206	344
389	1209	341
390	1212	338
391	1215	334
392	1217	331
393	1220	328
394	1223	325
395	1226	322
396	1229	318
397	1232	315
398	1234	312
399	1237	309
400	1240	306
401	1243	303
402	1245	299
403	1248	296
404	1251	293
405	1254	290
406	1257	287
407	1260	284
408	1263	281
409	1266	277
410	1268	274
411	1271	271
412	1274	268
413	1277	265
414	1280	262
415	1282	259
416	1285	255
417	1288	252
418	1291	249
419	1294	246
420	1296	243
421	1299	240
422	1302	237
423	1305	233
424	1307	230
425	1310	227
426	1313	224
427	1316	221
428	1319	218
429	1321	215
430	1324	212
431	1327	208
432	1330	205
433	1333	202
434	1335	199
435	1339	196
436	1341	193
437	1344	190
438	1347	187
439	1350	184
440	1353	181
441	1355	177
442	1358	174
443	1361	171
444	1364	168
445	1367	165
446	1370	162
447	1374	159
448	1377	156
449	1380	153
450	1383	150
451	1386	147
452	1390	144
453	1393	141
454	1396	138
455	1400	135
456	1403	132
457	1407	129
458	1410	125
459	1413	122
460	1415	119
461	1418	116
462	1420	113
463	1423	110
464	1425	107
465	1428	104
466	1431	101
467	1433	98
468	1436	94
469	1438	91
470	1441	88
471	1443	85
472	1445	82
473	1448	79
474	1450	76
475	1453	73
476	1455	70
477	1458	67
478	1460	64
479	1463	60
480	1465	57
481	1468	54
482	1470	51
483	1473	48
484	1476	45
485	1478	42
486	1481	39
487	1483	36
488	1485	33
489	1488	30
490	1490	27
491	1493	24
492	1495	21
493	1498	18
494	1500	15
495	1503	12
496	1505	9
497	1507	6
498	1510	3
499	1512	0
